FIXNUMBER,OTTERNO,OTTERNAME,Date,SEX,AGE_CLASS,STATUS,ACTIV,BEHAV,TealeX,TealeY,NEAR_DIST,ATOS,REPRO_STATE,REPRO_SUCCESS,UP_INDEX,DEPTH
N-1346-08-S_-3112975296_48225,N-1346-08-S,4.994,6/28/09,1,4,x,i,r,-134438.5345,-225525.2109,299.323497,617.999894,4,8,30,-8.4081
N-1346-08-S_-3112543296_37033,N-1346-08-S,4.994,7/3/09,1,4,s,a,f,-133862.562,-226864.112,143.936907,621.0607961,4,8,31,-2.3515
N-1346-08-S_-3112284096_43276,N-1346-08-S,4.994,7/6/09,1,4,s,i,r,-134236.8494,-226213.0904,259.072467,619.47822,4,8,113,-9.4086
N-1346-08-S_-3112197696_45952,N-1346-08-S,4.994,7/7/09,1,4,s,i,r,-133977.471,-227458.118,320.192216,622.2347068,4,8,105,-8.3567
N-1346-08-S_-3112111296_52786,N-1346-08-S,4.994,7/8/09,1,4,s,i,r,-134392.3028,-225867.2922,381.852917,619.3353213,4,8,130,-10.676
N-1346-08-S_-3111938496_47468,N-1346-08-S,4.994,7/10/09,1,4,s,i,g,-135039.2151,-223920.9613,152.361437,614.4259421,4,8,98,-2.4136
N-1346-08-S_-3111852096_45543,N-1346-08-S,4.994,7/11/09,1,4,s,i,r,-135142.6341,-224047.778,290.080411,615.4568781,4,8,115,-7.5591
N-1346-08-S_-3111679296_57928,N-1346-08-S,4.994,7/13/09,1,4,s,i,n,-135284.0808,-223630.0641,249.704369,614.4157138,4,8,127,-6.4809
N-1346-08-S_-3111592896_28609,N-1346-08-S,4.994,7/14/09,1,4,s,i,g,-134634.9288,-225149.4268,345.521941,617.1312827,4,8,56,-9.5421
N-1346-08-S_-3142783296_35827,N-1346-08-S,4.994,7/17/09,1,4,s,a,f,-133853.4155,-227585.4027,206.750262,623.4895563,4,8,69,-3.3842
N-1346-08-S_-3110728896_33010,N-1346-08-S,4.994,7/24/09,1,4,s,a,s,-134235.9555,-226024.4271,258.852269,619.1526696,4,8,69,-6.7827
N-1346-08-S_-3110556096_47078,N-1346-08-S,4.994,7/26/09,1,4,s,i,r,-134240.6184,-226240.8105,263.792624,620.4760387,4,8,59,-9.7883
N-1346-08-S_-3110296896_54210,N-1346-08-S,4.994,7/29/09,1,4,s,i,g,-133857.7006,-227904.7951,270.675756,623.1632258,5,8,36,-6.5943
N-1346-08-S_-3110210496_55374,N-1346-08-S,4.994,7/30/09,1,4,s,a,f,-133827.0557,-227524.7017,173.949434,622.4039372,5,8,49,-2.1666
N-1346-08-S_-3110124096_33003,N-1346-08-S,4.994,7/31/09,1,4,s,i,n,-134068.1053,-227589.7021,420.964506,622.4557985,5,8,37,-13.319
N-1346-08-S_-3109605696_41009,N-1346-08-S,4.994,8/6/09,1,4,l,i,r,-134371.1129,-225883.1821,368.110821,619.2930639,5,8,81,-10.008
N-1346-08-S_-3108914496_47497,N-1346-08-S,4.994,8/14/09,1,4,l,a,f,-134437.2648,-225702.0192,356.22056,618.3299762,5,8,142,-10.138
N-1346-08-S_-3108568896_50687,N-1346-08-S,4.994,8/18/09,1,4,l,i,r,-134076.5971,-227688.6847,432.258408,623.3604468,5,8,10,-14.82
N-1346-08-S_-3108482496_52852,N-1346-08-S,4.994,8/19/09,1,4,l,i,r,-134040.0748,-227554.6959,389.239072,622.398125,5,8,5,-11.686
N-1346-08-S_-3108309696_49305,N-1346-08-S,4.994,8/21/09,1,4,l,i,g,-133965.4079,-227556.4231,315.922853,622.4231932,5,8,33,-8.2632
N-1346-08-S_-3107964096_53205,N-1346-08-S,4.994,8/25/09,1,4,l,a,f,-134099.0039,-225948.4635,113.82741,619.1001201,5,8,48,-2.3397
N-1346-08-S_-3165074496_39458,N-1346-08-S,4.994,8/27/09,1,4,l,a,s,-133924.6221,-228311.098,420.660067,624.0470658,5,8,58,-11.262
N-1346-08-S_-3107704896_35862,N-1346-08-S,4.994,8/28/09,1,4,l,i,r,-135061.0625,-224396.7591,324.413834,615.2955766,5,8,67,-10.783
N-1346-08-S-2009-08-31-74027,N-1346-08-S,4.994,8/31/09,1,4,l,a,f,-134426.5009,-225533.2897,288.173259,618.0221316,5,8,54,-8.1279
N-1346-08-S_-3107272896_50044,N-1346-08-S,4.994,9/2/09,1,4,l,a,s,-134316.141,-225973.4967,332.628631,619.0919983,5,8,56,-9.1925
N-1346-08-S_-3107100096_46192,N-1346-08-S,4.994,9/4/09,1,4,l,a,f,-134813.0568,-224570.5792,155.594966,616.1901721,5,8,123,-4.8782
N-1346-08-S_-3107013696_57238,N-1346-08-S,4.994,9/5/09,1,4,l,i,r,-135124.8592,-224421.3069,391.255949,615.2826132,5,8,75,-12.999
N-1346-08-S_-3106495296_38264,N-1346-08-S,4.994,9/11/09,1,4,l,i,r,-134953.2863,-224399.0191,218.123902,615.3928146,5,8,52,-7.1202
N-1346-08-S-2009-09-13-35347,N-1346-08-S,4.994,9/13/09,1,4,l,a,f,-134557.3384,-225067.2004,234.563479,617.0426142,5,8,17,-6.3922
N-1346-08-S_-3106149696_31559,N-1346-08-S,4.994,9/15/09,1,4,l,i,r,-134987.3025,-224528.1566,291.408355,616.4141705,5,8,30,-10.455
N-1346-08-S_-3105976896_37529,N-1346-08-S,4.994,9/17/09,1,4,l,i,r,-135045.1483,-224335.8957,303.974219,615.2045052,5,8,91,-9.3929
N-1346-08-S_-3105804096_44009,N-1346-08-S,4.994,9/19/09,1,4,l,i,g,-134918.7255,-224349.3398,177.48709,615.3371607,5,8,68,-5.2979
N-1346-08-S-2009-09-29-35138,N-1346-08-S,4.994,9/29/09,1,4,l,i,r,-136696.1163,-222526.2645,138.450886,610.3580224,5,8,315,-8.6287
N-1346-08-S_-3104853696_41737,N-1346-08-S,4.994,9/30/09,1,4,l,i,r,-136630.306,-222442.867,76.666361,610.2795858,5,8,134,-3.6845
N-1346-08-S_-3104767296_48067,N-1346-08-S,4.994,10/1/09,1,4,l,a,f,-136758.0466,-222479.8243,104.039613,610.4870233,5,8,19,-7.5213
N-1346-08-S_-3104594496_33138,N-1346-08-S,4.994,10/3/09,1,4,l,i,n,-136794.5689,-222455.0149,98.571864,609.4380395,5,8,342,-7.1069
N-1346-08-S_-3104335296_46161,N-1346-08-S,4.994,10/6/09,1,4,l,i,r,-136623.9036,-222442.3028,80.469501,610.2686199,5,8,14,-3.5427
N-1346-08-S_-3103989696_48281,N-1346-08-S,4.994,10/10/09,1,4,l,a,s,-137338.3821,-222427.6136,378.67261,608.2774062,5,8,27,-14.841
N-1346-08-S_-3103816896_35029,N-1346-08-S,4.994,10/12/09,1,4,l,a,f,-134988.9749,-224480.127,275.065679,616.4983636,5,8,-30,-9.783
N-1346-08-S_-3103471296_54625,N-1346-08-S,4.994,10/16/09,1,4,l,a,e,-134240.9674,-226274.4736,269.139025,620.4180598,5,8,4,-10.102
N-1346-08-S_-3103384896_49588,N-1346-08-S,4.994,10/17/09,1,4,l,a,g,-134383.7286,-225849.0927,367.781189,619.3640967,5,8,18,-10.024
N-1346-08-S_-3103298496_40484,N-1346-08-S,4.994,10/18/09,1,4,l,i,g,-134374.3263,-225864.1305,363.890075,619.3304694,5,8,99,-9.8478
N-1346-08-S_-3103125696_46110,N-1346-08-S,4.994,10/20/09,1,4,l,a,g,-134297.9282,-225789.2169,269.167943,619.4243562,5,8,46,-5.354
N-1346-08-S_-3102952896_48925,N-1346-08-S,4.994,10/22/09,1,4,l,i,r,-134478.4405,-225828.3783,450.015373,619.4592693,5,8,49,-12.723
N-1346-08-S_-3102780096_34687,N-1346-08-S,4.994,10/24/09,1,4,l,a,g,-134427.1487,-225871.9662,416.269301,619.3474358,5,8,68,-11.845
N-1346-08-S_-3102693696_34409,N-1346-08-S,4.994,10/25/09,1,4,l,i,r,-134274.7375,-225929.9231,287.839097,619.1484202,5,8,34,-6.7189
N-1346-08-S_-3102520896_37438,N-1346-08-S,4.994,10/27/09,1,4,l,i,r,-134355.5455,-225855.6477,343.308913,619.3350481,5,8,428,-8.8961
N-1346-08-S_-3102348096_38439,N-1346-08-S,4.994,10/29/09,1,4,l,i,g,-134732.049,-224870.8773,281.152724,617.4913022,5,8,37,-7.9403
N-1346-08-S_-3102261696_52318,N-1346-08-S,4.994,10/30/09,1,4,l,i,r,-133956.3832,-227733.5732,309.580299,623.2408611,5,8,18,-9.7495
N-1346-08-S_-3102088896_36167,N-1346-08-S,4.994,11/1/09,1,4,l,i,r,-134041.7963,-227825.1264,405.541152,623.093562,5,8,12,-14.871
N-1346-08-S_-3101916096_43131,N-1346-08-S,4.994,11/3/09,1,4,l,i,r,-135052.4305,-224443.2321,324.483375,615.3831158,5,8,-14,-11.165
N-1346-08-S_-3101656896_33718,N-1346-08-S,4.994,11/6/09,1,4,l,i,r,-134986.2792,-224389.3858,249.292084,615.3476435,5,8,54,-8.3029
