Depth,Distance,TealeX,TealeY,ATOScal
-35,1379.867022,-128150,-241111.5809,655.870838
-31,1290.607317,-128050,-241111.5809,655.9582495
-31,1199.127993,-127950,-241111.5809,656.0456609
-28,1109.12066,-127850,-241111.5809,655.9067758
-28,1020.974697,-127750,-241111.5809,656.0172613
-25,935.216567,-127650,-241111.5809,656.1277469
-25,852.567137,-127550,-241111.5809,656.2382324
-22,774.02288,-127450,-241111.5809,656.348718
-22,699.258035,-127350,-241111.5809,656.4592036
-19,628.51733,-127250,-241111.5809,656.5696891
-19,559.408213,-127150,-241111.5809,656.6801747
-15,485.967395,-127050,-241111.5809,656.7906602
-15,421.985669,-126950,-241111.5809,656.9011458
-9,334.918053,-126850,-241111.5809,657.0986737
-9,237.594158,-126750,-241111.5809,657.215351
-1,142.608041,-126650,-241111.5809,657.3320283
-1,50.338683,-126550,-241111.5809,657.4487056
-44,1999.489884,-128850,-241011.5809,655.0813398
-44,1903.403663,-128750,-241011.5809,655.1687513
-39,1807.74202,-128650,-241011.5809,655.2561627
-39,1712.436097,-128550,-241011.5809,655.3435741
-35,1617.56719,-128450,-241011.5809,655.4309856
-35,1523.354799,-128350,-241011.5809,655.518397
-31,1429.928695,-128250,-241011.5809,655.6058085
-31,1337.453663,-128150,-241011.5809,655.6932199
-28,1246.141457,-128050,-241011.5809,655.7806313
-28,1156.267598,-127950,-241011.5809,655.8680428
-25,1067.550373,-127850,-241011.5809,655.9554542
-25,975.65593,-127750,-241011.5809,656.0428657
-22,885.519728,-127650,-241011.5809,655.964031
-22,797.73798,-127550,-241011.5809,656.0745166
-19,713.180608,-127450,-241011.5809,656.1850022
-19,633.140801,-127350,-241011.5809,656.2954877
-16,558.079353,-127250,-241011.5809,656.4059733
-16,487.365159,-127150,-241011.5809,656.5164588
-11,418.973978,-127050,-241011.5809,656.6269444
-11,344.624367,-126950,-241011.5809,656.73743
-5,280.617715,-126850,-241011.5809,656.8479155
-5,214.030125,-126750,-241011.5809,657.0785043
-1,128.235913,-126650,-241011.5809,657.1951816
-1,28.507987,-126550,-241011.5809,657.3118589
-44,1974.810043,-128850,-240911.5809,654.9037217
